text,title
CREATE,Create New Product
PURCHASE,Add Item to Inventory
CONSUME,Consume Item
SHOPPING,Add Item to Shopping List
OPEN,Open Item In Inventory
FINISH,Consume Remaining Open Quantity
EXPIRE,Expire All (Trash Inventory)
CLEAR-SCANNER,Reset Configurations
CREATE/LC-7/GRP-4/QT-14,"Chest Freezer, Baked Goods, Item"
CREATE/LC-7/GRP-13/QT-9,"Chest Freezer, Frozen Foods, Bag"
CREATE/LC-7/GRP-13/QT-19,"Chest Freezer, Frozen Foods, Box"
CREATE/LC-7/GRP-13/QT-14,"Chest Freezer, Frozen Foods, Item"
CREATE/LC-7/GRP-13/QT-18,"Chest Freezer, Frozen Foods, Oz"
CREATE/LC-7/GRP-2/QT-9,"Chest Freezer, Meats, Bag"
CREATE/LC-7/GRP-14/QT-18,"Chest Freezer, Surplus, Oz"
CREATE/LC-7/GRP-14/QT-7,"Chest Freezer, Surplus, Serving"
CREATE/LC-9/GRP-4/QT-14,"Countertop, Baked Goods, Item"
CREATE/LC-9/GRP-15/QT-13,"Countertop, Baking/Cooking, Gram"
CREATE/LC-9/GRP-15/QT-18,"Countertop, Baking/Cooking, Oz"
CREATE/LC-9/GRP-6/QT-8,"Countertop, Beverages, Bottle"
CREATE/LC-9/GRP-1/QT-6,"Countertop, Produce, Carton"
CREATE/LC-9/GRP-1/QT-14,"Countertop, Produce, Item"
CREATE/LC-4/GRP-15/QT-4,"Cupboard, Baking/Cooking, Can"
CREATE/LC-4/GRP-15/QT-13,"Cupboard, Baking/Cooking, Gram"
CREATE/LC-4/GRP-15/QT-17,"Cupboard, Baking/Cooking, Lb"
CREATE/LC-4/GRP-15/QT-18,"Cupboard, Baking/Cooking, Oz"
CREATE/LC-4/GRP-15/QT-15,"Cupboard, Baking/Cooking, Fl Oz"
CREATE/LC-4/GRP-12/QT-8,"Cupboard, Condiments, Bottle"
CREATE/LC-4/GRP-12/QT-18,"Cupboard, Condiments, Oz"
CREATE/LC-4/GRP-9/QT-19,"Cupboard, Dry Goods, Box"
CREATE/LC-4/GRP-9/QT-17,"Cupboard, Dry Goods, Lb"
CREATE/LC-4/GRP-11/QT-8,"Cupboard, Household Supplies, Bottle"
CREATE/LC-4/GRP-11/QT-19,"Cupboard, Household Supplies, Box"
CREATE/LC-4/GRP-11/QT-14,"Cupboard, Household Supplies, Item"
CREATE/LC-4/GRP-11/QT-3,"Cupboard, Household Supplies, Pack"
CREATE/LC-4/GRP-8/QT-9,"Cupboard, Snacks, Bag"
CREATE/LC-4/GRP-8/QT-19,"Cupboard, Snacks, Box"
CREATE/LC-12/GRP-2/QT-17,"Garage Refrigerator Freezer, Meats, Lb"
CREATE/LC-8/GRP-6/QT-8,"Garage Storage, Beverages, Bottle"
CREATE/LC-8/GRP-10/QT-9,"Garage Storage, Pets, Bag"
CREATE/LC-10/GRP-1/QT-5,"Hanging Produce, Produce, Bunch"
CREATE/LC-10/GRP-1/QT-14,"Hanging Produce, Produce, Item"
CREATE/LC-10/GRP-1/QT-17,"Hanging Produce, Produce, Lb"
CREATE/LC-6/GRP-2/QT-9,"Meat Freezer, Meats, Bag"
CREATE/LC-6/GRP-2/QT-14,"Meat Freezer, Meats, Item"
CREATE/LC-6/GRP-2/QT-17,"Meat Freezer, Meats, Lb"
CREATE/LC-6/GRP-2/QT-18,"Meat Freezer, Meats, Oz"
CREATE/LC-6/GRP-2/QT-3,"Meat Freezer, Meats, Pack"
CREATE/LC-3/GRP-4/QT-14,"Pantry, Baked Goods, Item"
CREATE/LC-3/GRP-15/QT-8,"Pantry, Baking/Cooking, Bottle"
CREATE/LC-3/GRP-15/QT-13,"Pantry, Baking/Cooking, Gram"
CREATE/LC-3/GRP-15/QT-17,"Pantry, Baking/Cooking, Lb"
CREATE/LC-3/GRP-15/QT-18,"Pantry, Baking/Cooking, Oz"
CREATE/LC-3/GRP-15/QT-15,"Pantry, Baking/Cooking, Fl Oz"
